tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037404806,75237,1517,Low Income,Yes,Yes,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6129,16506072.0644531,18910.7763431315
06037404901,107276,1311,Low Income,No,No,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6130,12261346.625,14494.8011783904
06037404902,81161,864,Low Income,Yes,Yes,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6131,7467003.61816406,11500.0556341762
06037404903,82847,639,Low Income,Yes,Yes,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6132,5973562.21875,10489.3723113898
06037405001,79851,1388,Low Income,Yes,Yes,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6133,18308765.0888672,19200.3391239939
06037405002,73958,751,Low Income,Yes,Yes,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6134,9499941.08398438,12525.3776339666
06037405101,80585,1285,Low Income,Yes,Yes,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6135,12048533.3691406,14746.6182766115
06037405102,70972,1474,Low Income,Yes,Yes,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6136,10230304.5361328,15430.3768621683
06037405201,68214,1484,Very Low Income,Yes,Yes,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6137,14562064.8261719,17731.3135854069
06037405202,67022,1110,Very Low Income,Yes,Yes,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6138,10257609.0322266,13372.3464723319
06037405203,87692,724,Low Income,Yes,No,Yes,District 1,City of Baldwin Park,SPA 3 - San Gabriel,6139,7682965.53710938,13607.0670063959
06037405301,76314,945,Low Income,Yes,Yes,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6140,8901118.33007812,19148.1538177085
06037405302,95956,1597,Low Income,Yes,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6141,19352429.7822266,21880.9560068147
06037405400,111121,1248,Moderate Income,No,No,Yes,District 1,Unincorporated - Covina,SPA 3 - San Gabriel,6142,14249791.4189453,20318.2009687467
06037405500,92382,1791,Low Income,Yes,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6143,20070042.9091797,20060.0038680219
06037405600,91838,1727,Low Income,Yes,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6144,22900755.5986328,23550.1941105889
06037405701,88023,1048,Low Income,Yes,No,Yes,District 1,Unincorporated - Covina,SPA 3 - San Gabriel,6145,11004308.1523438,14380.3511215672
06037405702,87959,1476,Low Income,Yes,No,Yes,District 1,City of Covina,SPA 3 - San Gabriel,6146,14814916.9960938,16435.0153467508
06037405800,97896,1650,Low Income,Yes,No,Yes,District 1,City of Covina,SPA 3 - San Gabriel,6147,20434025.3251953,20932.9660875291
06037405900,80357,1270,Low Income,Yes,Yes,Yes,District 1,City of Covina,SPA 3 - San Gabriel,6148,14218395.2392578,15922.8458546754
06037406000,107958,1537,Low Income,No,No,Yes,District 1,City of Covina,SPA 3 - San Gabriel,6149,20536047.9287109,26184.2889448281
06037406101,83636,1212,Low Income,Yes,No,Yes,District 1,City of Covina,SPA 3 - San Gabriel,6150,14936056.640625,17571.6430591242
06037406103,90614,2715,Low Income,Yes,No,Yes,District 1,City of Covina,SPA 3 - San Gabriel,6151,23750734.0498047,23873.6939274369
06037406201,54471,1289,Very Low Income,Yes,Yes,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6152,8581586.1484375,15669.7469303816
06037406300,101565,1937,Low Income,No,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6153,57981527.6367188,34015.2030590421
06037406413,102278,2106,Low Income,No,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6154,34177560.2353516,27657.3479643083
06037406500,99901,2072,Low Income,No,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6155,22005239.1816406,20242.9818003138
06037406601,123268,1539,Above Moderate Income,No,No,No,District 1,City of West Covina,SPA 3 - San Gabriel,6156,21186357.7158203,18623.5776561725
06037406602,105350,1262,Low Income,No,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6157,17123035.5869141,18516.2897791342
06037406701,95400,912,Low Income,Yes,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6158,10148195.4404297,13554.2565107864
06037406702,91646,2168,Low Income,Yes,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6159,30469700.0214844,24007.9510942646
06037406801,108894,1291,Low Income,No,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6160,18663501.1083984,23849.5445507411
06037406903,80827,2129,Low Income,Yes,Yes,Yes,District 1,Unincorporated - Bassett,SPA 3 - San Gabriel,6161,21082529.9121094,19519.8125324157
06037407001,89844,1246,Low Income,Yes,No,Yes,District 1,Unincorporated - Bassett,SPA 3 - San Gabriel,6162,10738739.59375,14062.2338659622
06037407002,105508,717,Low Income,No,No,Yes,District 1,City of Industry,SPA 3 - San Gabriel,6163,34111705.1416016,25658.3521687309
06037407101,66250,1081,Very Low Income,Yes,Yes,Yes,District 1,City of La Puente,SPA 3 - San Gabriel,6164,12251102.1982422,15224.6001983138
06037407102,90927,1273,Low Income,Yes,No,Yes,District 1,City of La Puente,SPA 3 - San Gabriel,6165,9930178.4921875,14539.6168599121
06037407201,87279,805,Low Income,Yes,No,Yes,District 1,City of La Puente,SPA 3 - San Gabriel,6166,6955646.68261719,11309.0233683549
06037407202,90682,732,Low Income,Yes,No,Yes,District 1,City of La Puente,SPA 3 - San Gabriel,6167,8682556.02539062,13374.5142338323
06037407301,79153,917,Low Income,Yes,Yes,Yes,District 1,Unincorporated - West Puente Valley,SPA 3 - San Gabriel,6168,10633047.6083984,15254.5786465491
06037407302,86154,784,Low Income,Yes,No,Yes,District 1,Unincorporated - West Puente Valley,SPA 3 - San Gabriel,6169,8679660.53613281,12141.7395707559
06037407400,126458,510,Above Moderate Income,No,No,No,District 1,City of West Covina,SPA 3 - San Gabriel,6170,6534892.61328125,10297.4292539804
06037407501,77931,958,Low Income,Yes,Yes,Yes,District 1,Unincorporated - Valinda,SPA 3 - San Gabriel,6171,12165499.5224609,16937.9585891017
06037407502,110625,837,Low Income,No,No,Yes,District 1,Unincorporated - Valinda,SPA 3 - San Gabriel,6172,11081593.4189453,15717.263474017
06037407601,93031,1077,Low Income,Yes,No,Yes,District 1,City of La Puente,SPA 3 - San Gabriel,6173,8434235.2109375,11670.3326582709
06037407602,104597,1026,Low Income,No,No,Yes,District 1,City of La Puente,SPA 3 - San Gabriel,6174,9948071.74121094,13193.0828272284
06037407701,72050,1081,Low Income,Yes,Yes,Yes,District 1,City of La Puente,SPA 3 - San Gabriel,6175,12402985.5810547,15424.4691950991
06037407702,102607,1721,Low Income,No,No,Yes,District 1,City of La Puente,SPA 3 - San Gabriel,6176,21579956.1210938,22626.2732530434
06037407801,100500,1066,Low Income,No,No,Yes,District 1,Unincorporated - Valinda,SPA 3 - San Gabriel,6177,11508847.8261719,13102.5333704688
06037407802,121194,741,Above Moderate Income,No,No,No,District 1,City of Industry,SPA 3 - San Gabriel,6178,33598565.5673828,30414.8078532877
06037407901,104375,887,Low Income,No,No,Yes,District 1,Unincorporated - Valinda,SPA 3 - San Gabriel,6179,11102395.9619141,14077.8126403019
06037407902,85450,519,Low Income,Yes,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6180,5075594.79492188,9633.17854030043
06037408003,103472,1234,Low Income,No,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6181,14617723.3291016,16432.8877700267
06037408004,91020,857,Low Income,Yes,No,Yes,District 1,City of West Covina,SPA 3 - San Gabriel,6182,6762442.37402344,11757.1282687504
