CT10,TractSNAP,Pop2010
267600.0,94.0,2549.0
109601.0,79.0,5020.0
141700.0,7.0,3091.0
267700.0,29.0,2990.0
800325.0,12.0,3407.0
262200.0,0.0,4675.0
106642.0,43.0,3236.0
800324.0,8.0,6664.0
800326.0,59.0,4972.0
273700.0,33.0,2801.0
273600.0,32.0,2413.0
273200.0,86.0,3711.0
273300.0,123.0,3695.0
273800.0,18.0,3107.0
274100.0,0.0,4418.0
275400.0,69.0,3349.0
117303.0,15.0,3512.0
115301.0,116.0,4156.0
800328.0,45.0,2640.0
800204.0,0.0,6740.0
128500.0,72.0,4015.0
141600.0,0.0,4029.0
571704.0,238.0,4107.0
570403.0,408.0,4587.0
544002.0,67.0,3142.0
544001.0,172.0,4791.0
543905.0,235.0,4510.0
650901.0,160.0,5928.0
650401.0,15.0,4472.0
650004.0,97.0,4005.0
650003.0,94.0,3158.0
621326.0,0.0,3260.0
621324.0,7.0,3842.0
621204.0,18.0,3230.0
621104.0,8.0,6649.0
621004.0,80.0,4762.0
620904.0,0.0,2888.0
620305.0,0.0,6227.0
543306.0,126.0,7214.0
542106.0,178.0,3373.0
542105.0,306.0,5200.0
570404.0,172.0,3501.0
265602.0,7.0,3042.0
276604.0,10.0,3983.0
276603.0,41.0,5252.0
269907.0,73.0,2761.0
269906.0,34.0,2878.0
267901.0,0.0,2428.0
604002.0,108.0,5078.0
604001.0,121.0,4470.0
603802.0,110.0,4153.0
603801.0,87.0,4483.0
603006.0,56.0,2035.0
603005.0,314.0,5591.0
602802.0,118.0,4304.0
602801.0,102.0,3819.0
602509.0,115.0,4118.0
602508.0,275.0,7022.0
602302.0,22.0,3477.0
600304.0,330.0,3424.0
535002.0,232.0,3681.0
535001.0,214.0,4325.0
533001.0,287.0,4527.0
275602.0,76.0,6470.0
275101.0,19.0,1177.0
241201.0,188.0,2898.0
239801.0,277.0,3412.0
234901.0,279.0,2999.0
212501.0,89.0,2165.0
234502.0,141.0,2698.0
234501.0,74.0,2728.0
219901.0,211.0,5234.0
212701.0,83.0,2430.0
208301.0,131.0,2201.0
207502.0,141.0,2589.0
207301.0,399.0,4521.0
207102.0,132.0,2553.0
207101.0,130.0,3047.0
207501.0,18.0,2218.0
207302.0,452.0,3791.0
206031.0,17.0,2957.0
980028.0,0.0,4.0
651304.0,72.0,5114.0
278001.0,55.0,2458.0
240401.0,503.0,5383.0
237102.0,202.0,3254.0
534803.0,192.0,4930.0
534802.0,94.0,2875.0
533403.0,97.0,2973.0
533402.0,216.0,4105.0
533300.0,196.0,3558.0
543321.0,72.0,5418.0
541500.0,362.0,5836.0
542401.0,220.0,4912.0
543702.0,184.0,7083.0
541100.0,166.0,3321.0
206020.0,19.0,7883.0
207710.0,33.0,2490.0
207400.0,0.0,1363.0
206300.0,693.0,7540.0
208902.0,135.0,2339.0
602600.0,265.0,7910.0
219800.0,121.0,3310.0
219010.0,116.0,2814.0
