Census_Tra,TRACT,UHII,DegHourDay,FIPS,Pop2012_km,FID_,X,Y,x1,y1,Pop_km_2,SymbolID
1652,"199000",10861.00000000000,59.67582417580,"06037199000",3457.33926373000,332,207232.54699999999,-314642.28100000002,28.07800000000,64.11900000000,3457.30000000000,
1653,"199110",11899.00000000000,65.37912087910,"06037199110",3155.41665790000,333,209233.92199999999,-314670.18800000002,28.74500000000,64.11000000000,3155.40000000000,
1654,"199120",11111.10000000000,61.05000000000,"06037199120",4470.08388798000,334,209049.09400000001,-315699.65600000002,28.68300000000,63.76700000000,4470.10000000000,
1655,"199201",10978.50000000000,60.32142857140,"06037199201",10523.11617540000,335,207926.06299999999,-315048.90600000002,28.30900000000,63.98400000000,10523.10000000000,
1656,"199202",11770.60000000000,64.67362637360,"06037199202",3247.28341076000,336,208694.17199999999,-314478.25000000000,28.56500000000,64.17400000000,3247.30000000000,
1657,"199300",12819.50000000000,70.43681318680,"06037199300",1574.41836424000,337,209024.01600000000,-313226.43800000002,28.67500000000,64.59100000000,1574.40000000000,
1658,"199400",12039.90000000000,66.15329670330,"06037199400",6730.65318255000,338,208116.42199999999,-313611.53100000002,28.37200000000,64.46300000000,6730.70000000000,
1659,"199700",9961.59000000000,54.73401098900,"06037199700",4298.06466232000,339,207201.34400000001,-316004.18800000002,28.06700000000,63.66500000000,4298.10000000000,
1660,"199800",10671.80000000000,58.63626373630,"06037199800",9125.34617159000,340,208086.56299999999,-315652.15600000002,28.36200000000,63.78300000000,9125.30000000000,
1661,"199900",10221.30000000000,56.16098901100,"06037199900",5958.93181038000,341,207988.07800000001,-316265.28100000002,28.32900000000,63.57800000000,5958.90000000000,
1662,"201110",14247.70000000000,78.28406593410,"06037201110",2494.24857279000,342,211275.73400000000,-312913.43800000002,29.42500000000,64.69600000000,2494.20000000000,
1663,"201120",14659.10000000000,80.54450549450,"06037201120",5240.52479685000,343,212248.78099999999,-312887.03100000002,29.75000000000,64.70400000000,5240.50000000000,
