Census_Tra,TRACT,UHII,DegHourDay,FIPS,Pop2012_km,FID_,X,Y,x1,y1,Pop_km_2,SymbolID
2181,301801,17565.3,96.5126373626,6037301801,5842.96805713,858,203335.016,-306521.938,26.778,66.826,5843.0,
2182,301802,16470.4,90.4967032967,6037301802,7994.55069925,859,203359.5,-307203.531,26.787,66.599,7994.6,
2183,301900,17677.2,97.1274725275,6037301900,7569.90863711,860,204535.719,-306548.25,27.179,66.817,7569.9,
2184,302002,16598.5,91.2005494505,6037302002,7279.26484154,861,204192.781,-307184.938,27.064,66.605,7279.3,
2185,302003,16626.5,91.3543956044,6037302003,15565.5370273,862,204789.656,-307210.719,27.263,66.596,15565.5,
2186,302004,16717.3,91.8532967033,6037302004,12773.5991814,863,205261.328,-307190.375,27.42,66.603,12773.6,
2188,302103,15834.5,87.0027472527,6037302103,10495.0133885,865,205349.172,-307873.375,27.45,66.376,10495.0,
2189,302104,16431.2,90.2813186813,6037302104,7397.51280929,866,205872.516,-307544.188,27.624,66.485,7397.5,
2190,302201,15908.2,87.4076923077,6037302201,7873.20443894,867,204396.109,-307692.531,27.132,66.436,7873.2,
2191,302202,15472.0,85.010989011,6037302202,10540.0233233,868,204398.391,-308099.531,27.133,66.3,10540.0,
2192,302301,15731.1,86.4346153846,6037302301,5589.52285516,869,203055.047,-307707.688,26.685,66.431,5589.5,
2193,302302,15225.9,83.6587912088,6037302302,7882.40594078,870,203198.625,-308180.313,26.733,66.273,7882.4,
2195,302503,15127.2,83.1164835165,6037302503,14539.4084693,872,204518.078,-308439.313,27.173,66.187,14539.4,
2227,400204,30834.8,169.421978022,6037400204,883.088195077,899,248924.719,-307670.125,41.975,66.443,883.1,
2230,400207,31818.0,174.824175824,6037400207,963.824244765,900,247775.422,-306619.281,41.592,66.794,883.1,
2231,400302,25832.1,141.934615385,6037400302,2431.39379619,901,246170.266,-309723.438,41.057,65.759,2431.4,
2232,400304,24097.1,132.401648352,6037400304,2188.76275433,902,245165.859,-310635.688,40.722,65.455,2188.8,
