tract,med_hh_income,med_hh_income_universe,ami_category,below_med_income,below_60pct_med_income,below_moderate_income,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
6037620102,153482.0,1883,Above Moderate Income,No,No,No,District 2,City of El Segundo,SPA 8 - South Bay,7000,9388354.04296875,16010.8448891507
6037620201,161563.0,885,Above Moderate Income,No,No,No,District 2,City of Manhattan Beach,SPA 8 - South Bay,7001,2018511.75097656,6645.59628528624
6037620301,237798.0,1487,Above Moderate Income,No,No,No,District 2,City of Manhattan Beach,SPA 8 - South Bay,7002,11223224.3388672,14150.6373841595
6037620303,202875.0,1783,Above Moderate Income,No,No,No,District 2,City of Manhattan Beach,SPA 8 - South Bay,7003,12338672.734375,15887.7850329508
6037620305,182775.0,2387,Above Moderate Income,No,No,No,District 2,City of Manhattan Beach,SPA 8 - South Bay,7005,11936835.0683594,16883.2955777628
6037620400,175469.0,1987,Above Moderate Income,No,No,No,District 2,City of Manhattan Beach,SPA 8 - South Bay,7006,27769487.9970703,21113.9802322799
6037620501,162674.0,2143,Above Moderate Income,No,No,No,District 2,City of Redondo Beach,SPA 8 - South Bay,7007,27886999.1152344,21151.3457533806
6037620521,115829.0,1797,Moderate Income,No,No,Yes,District 2,City of Redondo Beach,SPA 8 - South Bay,7008,6934219.92480469,10530.2751838138
6037620522,162778.0,1830,Above Moderate Income,No,No,No,District 2,City of Redondo Beach,SPA 8 - South Bay,7009,8027678.24902344,11200.6184497236
6037620601,120326.0,2294,Above Moderate Income,No,No,No,District 2,City of Redondo Beach,SPA 8 - South Bay,7010,14700748.7509766,19877.1450434457
6037620602,155342.0,2104,Above Moderate Income,No,No,No,District 2,City of Redondo Beach,SPA 8 - South Bay,7011,14624225.1474609,18655.5874576324
6037620701,176613.0,2910,Above Moderate Income,No,No,No,District 2,City of Redondo Beach,SPA 8 - South Bay,7012,10956223.3525391,15209.3916944785
6037620703,244257.0,1200,Above Moderate Income,No,No,No,District 2,City of Redondo Beach,SPA 8 - South Bay,7013,6190960.06738281,10997.0258770682
6037620704,189095.0,1182,Above Moderate Income,No,No,No,District 2,City of Redondo Beach,SPA 8 - South Bay,7014,7980967.99414062,13473.8582282709
6037620801,218036.0,1320,Above Moderate Income,No,No,No,District 2,City of Manhattan Beach,SPA 8 - South Bay,7015,12893891.2568359,15696.795468591
6037620802,181518.0,1353,Above Moderate Income,No,No,No,District 2,City of Manhattan Beach,SPA 8 - South Bay,7016,13837312.9794922,15788.2904134712
6037620901,250001.0,1054,Above Moderate Income,No,No,No,District 2,City of Manhattan Beach,SPA 8 - South Bay,7017,9373822.0234375,12894.805702196
6037620904,215694.0,1067,Above Moderate Income,No,No,No,District 2,City of Manhattan Beach,SPA 8 - South Bay,7018,5878914.09082031,10106.9404950805
6037621001,167260.0,2041,Above Moderate Income,No,No,No,District 2,City of Hermosa Beach,SPA 8 - South Bay,7019,10175657.7919922,16002.7284919715
6037621005,150152.0,2506,Above Moderate Income,No,No,No,District 2,City of Hermosa Beach,SPA 8 - South Bay,7020,12106909.7089844,15546.1987329614
6037621102,200250.0,1239,Above Moderate Income,No,No,No,District 2,City of Hermosa Beach,SPA 8 - South Bay,7021,6029107.20996094,10693.9287239224
6037621104,132366.0,3136,Above Moderate Income,No,No,No,District 2,City of Hermosa Beach,SPA 8 - South Bay,7022,10632729.7568359,13473.4307979757
6037621201,160201.0,2941,Above Moderate Income,No,No,No,District 2,City of Redondo Beach,SPA 8 - South Bay,7023,17709590.2138672,17281.0272970824
6037621204,107935.0,1750,Low Income,No,No,Yes,District 2,City of Redondo Beach,SPA 8 - South Bay,7024,17695470.7451172,17725.5502711608
6037621301,120750.0,2940,Above Moderate Income,No,No,No,District 2,City of Redondo Beach,SPA 8 - South Bay,7025,16895190.2138672,17257.5313727483
6037621324,114826.0,1974,Moderate Income,No,No,Yes,District 2,City of Redondo Beach,SPA 8 - South Bay,7026,6392411.55664062,13205.7061611631
6037621326,111866.0,1738,Moderate Income,No,No,Yes,District 2,City of Redondo Beach,SPA 8 - South Bay,7027,7328877.06738281,12911.5358009553
6037621400,174667.0,1744,Above Moderate Income,No,No,No,District 2,City of Redondo Beach,SPA 8 - South Bay,7028,13656380.7792969,15831.8258900521
6037650001,103352.0,2343,Low Income,No,No,Yes,District 4,City of Torrance,SPA 8 - South Bay,7029,17307210.7128906,16976.7529227777
6037650003,84750.0,1218,Low Income,Yes,No,Yes,District 4,City of Torrance,SPA 8 - South Bay,7030,5463168.09765625,9617.03730071032
6037650004,98750.0,1498,Low Income,No,No,Yes,District 4,City of Torrance,SPA 8 - South Bay,7031,8241169.67480469,11729.4325944707
6037650101,105274.0,1987,Low Income,No,No,Yes,District 4,City of Torrance,SPA 8 - South Bay,7032,20477770.7998047,18472.6477756689
